"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Qu, Y.; Zhao, N.; Zhang, H.","Qu, Yanbo (58125743100); Zhao, Ning (57195249811); Zhang, Haojue (58090163400)","58125743100; 57195249811; 58090163400","Digital Twin Technology of Human–Machine Integration in Cross-Belt Sorting System","2024","Chinese Journal of Mechanical Engineering (English Edition)","37","1","33","","","0","9","10.1186/s10033-024-01012-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189473752&doi=10.1186%2Fs10033-024-01012-w&partnerID=40&md5=48e33532a6965c4e2cf9a2d1c4136ec7","The Chinese express delivery industry processes nearly 110 billion items in 2022, averaging an annual growth rate of 200%. Among the various types of sorting systems used for handling express items, cross-belt sorting systems stand out as the most crucial. However, despite their high degree of automation, the workload for operators has intensified owing to the surging volume of express items. In the era of Industry 5.0, it is imperative to adopt new technologies that not only enhance worker welfare but also improve the efficiency of cross-belt systems. Striking a balance between efficiency in handling express items and operator well-being is challenging. Digital twin technology offers a promising solution in this respect. A realization method of a human–machine integrated digital twin is proposed in this study, enabling the interaction of biological human bodies, virtual human bodies, virtual equipment, and logistics equipment in a closed loop, thus setting an operating framework. Key technologies in the proposed framework include a collection of heterogeneous data from multiple sources, construction of the relationship between operator fatigue and operation efficiency based on physiological measurements, virtual model construction, and an online optimization module based on real-time simulation. The feasibility of the proposed method was verified in an express distribution center. © 2024 Elsevier B.V., All rights reserved.","Cross-belt sorting system; Digital twin; Human–machine integrated; Industry 5.0; Online optimization","E-learning; Physiological models; Sorting; Virtual reality; Annual growth rate; Cross-belt sorting system; Degrees of automation; Human-machine; Human–machine integrated; Industry 5.0; Industry process; Online optimization; Sorting system; Workers'; Efficiency","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189473752"
"Liu, A.; Zhang, Y.; Yao, Y.","Liu, Ao (58797311600); Zhang, Yifan (58799230500); Yao, Yuan (57193853977)","58797311600; 58799230500; 57193853977","Digital twins for hand gesture-guided human-robot collaboration systems","2024","Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture","238","14","","2060","2074","0","1","10.1177/09544054231223783","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181740121&doi=10.1177%2F09544054231223783&partnerID=40&md5=3c3591e0b9a2de089e89ac06b8c3b43c","Gesture control is one of the effective and flexible communication method between humans and robots. However, it always depends on complex hardware and configurations in human-robot collaboration systems. Simplifying the design of gesture-interaction systems and avoiding miscommunication are challenging problems. In this paper, we proposed a method that utilizes an RGB sensor to realize spatial human-robot collaboration. A random forest based depth estimator is presented to supplement the additional spatial information for hand gesture recognition. Additionally, we demonstrate the construction of secure human-robot collaboration scenarios in Unity and validate our approach in real-world settings, based on which a digital twin system oriented to human-machine collaboration is constructed to realize rapid human-machine task simulation, safety specification testing, and real-scene applications development. © 2024 Elsevier B.V., All rights reserved.","digital twin system; Human-robot collaboration; random forest depth estimation","Safety testing; Collaboration systems; Depth Estimation; Digital twin system; Effective communication; Flexible communication; Gesture control; Hand gesture; Human-robot collaboration; Random forest depth estimation; Random forests; Robots","Article","Final","","Scopus","2-s2.0-85181740121"
"Yadav, S.; Kishor, N.; Purwar, S.; Chakrabarti, S.; Raussi, P.; Kumar, A.","Yadav, Seema (58547498800); Kishor, Nand (9840976200); Purwar, Shubhi (6601978540); Chakrabarti, Saikat (35323728000); Raussi, Petra (6503980193); Kumar, Avinash (57208356246)","58547498800; 9840976200; 6601978540; 35323728000; 6503980193; 57208356246","Real-time implementation for vulnerability of power components under switching attack based on sliding mode","2024","IET Cyber-Physical Systems: Theory and Applications","9","4","","375","391","0","0","10.1049/cps2.12084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180850281&doi=10.1049%2Fcps2.12084&partnerID=40&md5=47feaddc1705e32bbb7c28c08ad94c1a","In recent years, cyber security-related studies in the power grid have drawn wide attention, with much focus on its detection, mainly for data injection type of attacks. The vulnerability of power components as a result of attack and their impact on generator dynamics have been largely ignored so far. With the aim of addressing some of these issues, the authors propose a novel approach using real-time sliding surface-based switching attack (SA) construction. This approach targets the circuit breaker, excitation system, and governor system of the generator. The vulnerability of these power components to cyber-physical attacks and assessment of their potential impact on the stability of generator are discussed. The study is presented to show the progression of cascading generator dynamics on account of single or multiple time instants of SA launched on these power components. The results are discussed according to criteria in terms of deviations in rotor speed of the generator and identify some of possible combinations of power components that are most critical to grid stability. The proposed study is implemented on standard IEEE 3-machine, 9-bus network in real-time digital simulator via transmission control protocol/internet protocol (TCP/IP) communication network established as cyber-physical system. The sliding surface-based SA algorithm developed in MATLAB is launched from another computer. © 2024 Elsevier B.V., All rights reserved.","generator stability; real-time simulation; switching attack; vulnerability","Cyber Physical System; Cybersecurity; Electric power transmission; Embedded systems; MATLAB; Real time control; Stability criteria; Transmission control protocol; Generator dynamic; Generator stability; Power components; Real-time implementations; Realtime simulation (RTS); Sliding modes; Sliding surface; Surface-based; Switching attack; Vulnerability; Electric circuit breakers","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85180850281"
"Li, T.; Shen, Y.; Li, Y.; Zhang, Y.; Wu, S.","Li, Teng (60059787400); Shen, Yi (60059673900); Li, Yuxiang (60059559400); Zhang, Yongbo (60059323900); Wu, Song (56931738300)","60059787400; 60059673900; 60059559400; 60059323900; 56931738300","The status quo and future prospects of digital twins for healthcare","2024","EngMedicine","1","3","100042","","","0","4","10.1016/j.engmed.2024.100042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014002362&doi=10.1016%2Fj.engmed.2024.100042&partnerID=40&md5=5acfb865bc3e0e78c9395326e2dec359","Digital twin technology plays a pivotal role in driving the digital transformation of healthcare services. This review provides a comprehensive overview of the applications of digital twins in the healthcare sector. We elucidate the concept and classification of digital twins for healthcare and provide a detailed account of their current applications in clinical diagnosis, treatment, and hospital operational management. Taking the cardiac digital twin as an example, this review showcases the typical use of digital twins in clinical practice and scientific research. Additionally, the challenges faced by digital twin technology in data collection, model construction, ethics, and regulations were analyzed. Finally, the broad prospects of digital twins in promoting precision and personalization in healthcare are envisioned. © 2025 Elsevier B.V., All rights reserved.","Artificial intelligence; Big data; Digital twins; Healthcare; Hospital management","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014002362"
"Lu, L.; Yin, N.","Lu, Libin (59520821400); Yin, Na (59521006500)","59520821400; 59521006500","Exploring the Optimization and Application Innovation of Digital Twin Technology Based on Deep Learning Algorithms","2024","","","","","292","298","0","0","10.1145/3696952.3696991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215505460&doi=10.1145%2F3696952.3696991&partnerID=40&md5=dad16df3c72d596918ab854f646a9b77","This paper aims to explore the artificial intelligence (AI) technology based on deep learning algorithm how to promote digital twin technology optimization and application innovation, through the analysis of deep learning, reinforcement learning and the application of natural language processing in digital twin principle, put forward artificial intelligence for digital twin model construction, decision feedback, resource optimization and man-machine collaborative optimization and innovation. Show the construction, analysis, decision-making and innovative application of AI optimization digital twin model, especially in the wide application and future trend in manufacturing, smart city, medical and health care and other fields. At the same time, this paper also focuses on the accompanying challenges and ethical issues, and provides thinking for the sustainable development of digital twin technology. © 2025 Elsevier B.V., All rights reserved.","Application Innovation; Deep Learning Algorithms; Digital Twin; Optimization","Adversarial machine learning; Contrastive Learning; Deep reinforcement learning; Application innovation; Artificial intelligence technologies; Deep learning algorithm; Learning reinforcements; Natural languages; Optimisations; Reinforcement learnings; Technology application; Technology optimization; Technology-based; Smart manufacturing","Conference paper","Final","","Scopus","2-s2.0-85215505460"
"Figueiredo, K.; Hammad, A.W.A.; Pierott, R.; Tam, V.W.Y.; Haddad, A.","Figueiredo, Karoline V. (57196401222); Hammad, Ahmed WA (56430620200); Pierott, Rodrigo Moulin Ribeiro (57222743782); Tam, Vivian W.Y. (7005091994); Haddad, Assed N. (23012063300)","57196401222; 56430620200; 57222743782; 7005091994; 23012063300","Integrating Digital Twin and Blockchain for dynamic building Life Cycle Sustainability Assessment","2024","Journal of Building Engineering","97","","111018","","","0","9","10.1016/j.jobe.2024.111018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206290825&doi=10.1016%2Fj.jobe.2024.111018&partnerID=40&md5=0027790ed18c7aaa59b8c82928073dca","The Life Cycle Sustainability Assessment (LCSA) methodology offers a promising solution to achieve a sustainable built environment by simultaneously considering all sustainability pillars. However, traditional LCSA applications are typically confined to the early design stages of building projects, where they assess the entire life cycle of a building using static historical data rather than being employed as a decision-making tool throughout all project phases with real-time data integration. This research addresses these limitations by investigating the integration of LCSA with Digital Twin (DT) and Blockchain technologies to enhance sustainability assessments in building projects. The primary aim is to develop a dynamic framework that incorporates real-time data across a building's entire life cycle. This study utilizes a systematic literature review to identify current trends and gaps, leading to the development of an integrative framework validated through a case study of a typical residential building. The findings demonstrate that integrating DT facilitates continuous monitoring and assessment of environmental, economic, and social impacts, while Blockchain ensures data security, integrity, and transparency. This novel approach supports real-time, iterative LCSA applications, enhancing decision-making from design through construction and maintenance. By showcasing a practical application of DT and Blockchain in real-world scenarios, this framework significantly advances sustainable practices in construction. The originality of this research lies in its holistic approach, combining DT and Blockchain to deliver a more accurate, reliable, and comprehensive sustainability assessment model, setting a new standard for future developments in the field. © 2024 Elsevier B.V., All rights reserved.","BIM; Blockchain; Digital Twin; Life Cycle Sustainability Assessment; Sustainable construction","Sustainable building; Sustainable development goals; Assessment methodologies; Block-chain; Building life cycle; Building projects; Built environment; Entire life cycles; Life cycle sustainability assessments; Real-time data; Sustainability assessment; Sustainable construction; Life cycle assessment","Review","Final","","Scopus","2-s2.0-85206290825"
"","","","Proceedings of 2024 4th International Conference on Internet of Things and Machine Learning, IoTML 2024","2024","","","","","","","436","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212816426&partnerID=40&md5=7677dce6cd96e4127e2bf3b212898678","The proceedings contain 73 papers. The topics discussed include: research on fire risk prediction method based on multi-source data perception; research on knowledge graph and GAN based data expansion methods; SCCGCN: a skip-connection coupled graph convolutional network with dynamic fusion attention mechanism for traffic flow prediction; transfer learning and CNN-based framework for intrusion detection in highway Internet toll systems; secure computation offloading and resource allocation for ultra-dense multi-access mobile edge computing networks; a clustering algorithm for connectivity in cognitive vehicular network with digital twin; distribution network load forecasting based on deep learning; and construction of a news event influence assessment model based on machine learning. © 2024 Elsevier B.V., All rights reserved.","","","Conference review","Final","","Scopus","2-s2.0-85212816426"
"Lapshin, V.P.; Turkin, I.A.; Gvindzhilia, V.E.; Ilia, I.O.; Gamaleev, D.O.","Lapshin, Viktor P. (56960018900); Turkin, Ilia A. (57214871046); Gvindzhilia, V. E. (59494261900); Ilia, Dudinov (58568620300); Gamaleev, Denis O. (58665179400)","56960018900; 57214871046; 59494261900; 58568620300; 58665179400","Using Deterministic Models and Neural Networks in Digital Twins of Metal Cutting Processes","2024","Russian Engineering Research","44","11","","1588","1592","0","1","10.3103/S1068798X24702599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213559087&doi=10.3103%2FS1068798X24702599&partnerID=40&md5=c6e3ad4dee34c5d85bce9c5b97d7bb99","Abstract: The use of data processing algorithms based on neural networks in combination with deterministic mathematical models is considered. The pairing of these two approaches was first proposed in constructing a uniform virtual modeling system for cutting processes in metalworking machines, which use a neural network for adaptive parametric identification of the models describing the processes. Two types of research methods are employed: experiments and Matlab modeling. On the basis of the results, a systematic new approach to the construction of digital twin systems may be proposed. © 2024 Elsevier B.V., All rights reserved.","cutting dynamics; digital twins; neural networks; virtual models","Cutting dynamics; Cutting process; Data processing algorithms; Deterministic modeling; Deterministics; Metal cutting process; Model networks; Modelling systems; Neural-networks; Virtual models; Neural network models","Article","Final","","Scopus","2-s2.0-85213559087"
"Wang, P.; Hu, G.; Hu, W.; Xue, X.; Tao, J.; Wen, H.","Wang, Ping (59010807400); Hu, Guangzhong (26325477300); Hu, Wenli (58536163300); Xue, Xiangdong (58916246700); Tao, Jing (56037885600); Wen, Huabin (55436302700)","59010807400; 26325477300; 58536163300; 58916246700; 56037885600; 55436302700","Deep Learning-Based Rapid Flow Field Reconstruction Model with Limited Monitoring Point Information","2024","Aerospace","11","11","871","","","0","4","10.3390/aerospace11110871","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210433435&doi=10.3390%2Faerospace11110871&partnerID=40&md5=bbe50f5f70413b45aefbf90a9f3da6a2","The rapid reconstruction of the internal flow field within pressure vessel equipment based on features from limited detection points was of significant value for online monitoring and the construction of a digital twin. This paper proposed a surrogate model that combined Proper Orthogonal Decomposition (POD) with deep learning to capture the dynamic mapping relationship between sensor monitoring point information and the global flow field state during equipment operation, enabling rapid reconstruction of the temperature field and velocity field. Using POD, the order of the tested temperature field was reduced by 99.75%, and the order of the velocity field was reduced by 99.13%, effectively decreasing the dimensionality of the flow field. Our analysis revealed that the first modal coefficient of the temperature field snapshot data, after modal decomposition, had a higher energy proportion compared to that of the velocity field snapshot data, along with a more pronounced marginal effect. This indicates that more modes need to be retained for the velocity field to achieve a higher total energy proportion. By constructing a CSSA-BP model to represent the mapping relationship between the modal coefficients of the temperature and velocity fields and the data collected from the detection points, a comparison was made with the BP method in reconstructing the temperature field of a shell-and-tube heat exchanger. The CSSA-BP method yielded a maximum mean squared error (MSE) of 9.84 for the reconstructed temperature field, with a maximum mean absolute error (MAE) of 1.85. For the velocity field, the maximum MSE was 0.0135 and the maximum MAE was 0.0728. The global maximum errors for the reconstructed temperature field were 4.85%, 3.65%, and 4.29%, respectively. The global maximum errors for the reconstructed velocity field were 17.72%, 11.30%, and 16.79%, indicating that the model established in this study has high accuracy. Conventional CFD simulation methods require several hours, whereas the reconstruction model proposed here can rapidly reconstruct the flow field within 1 min after training is completed, significantly reducing reconstruction time. This work provides a new method for quickly obtaining the internal flow field state of pressure vessel equipment under limited detection points, offering a reference for online monitoring and the development of digital twins for pressure vessel equipment. © 2024 Elsevier B.V., All rights reserved.","CFD; CSSA; deep learning; digital twin; proper orthogonal decomposition","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210433435"
"Zahedi, F.; Alavi, H.; Majrouhi, J.; Dang, H.","Zahedi, Foad (58235327300); Alavi, Hamidreza (57221289863); Majrouhi, Sardroud J. (42061698200); Dang, Hongtao (57202535745)","58235327300; 57221289863; 42061698200; 57202535745","Digital Twins in the Sustainable Construction Industry","2024","Buildings","14","11","3613","","","0","7","10.3390/buildings14113613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210265298&doi=10.3390%2Fbuildings14113613&partnerID=40&md5=d54877c7bed1b434fec3ca84c0b77e46","Digital Twin (DT) technology, as the evolution of Building Information Modeling (BIM), has emerged to address global concerns regarding the environmental impacts of the construction industry and to meet sustainability indicators. Despite numerous studies targeting the integration of DT and sustainability, there is a noticeable gap in creating a comprehensive overview of the efforts and future directions in this field. Therefore, this research aims to provide both a scientometric analysis and a thematic review of 235 papers extracted from the Scopus database. These papers, all published between 2017 and 2024, focus on previous efforts, current trends, and future directions of using the Digital Twin for construction sustainability. In addition, 34 papers that were cited more than 20 times were classified by the application into four categories: simulation, technology integration, smart systems, and literature review. Furthermore, regarding the application of smart systems in sustainability, the authors discussed applications of BIM-DT in smart construction, smart buildings, smart infrastructures, and smart cities based on the most-cited papers. Subsequently, five research gaps were identified and suggested for future investigation. The research gives a holistic insight into the current trend of DT among researchers, previous achievements, and future directions. © 2024 Elsevier B.V., All rights reserved.","BIM; construction; critical review; Digital Twin; scientometric analysis; sustainability","Green buildings; Smart homes; Sustainable building; Sustainable city; 'current; Building Information Modelling; Classifieds; Critical review; Scientometric analysis; Scopus database; Simulation technologies; Smart System; Sustainability indicators; Sustainable construction; Building Information Model","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210265298"
"del Blanco García, F.L.; González Cruz, A.J.; Amengual Menéndez, C.; Sanz-Arauz, D.; Aira Zunzunegui, J.R.; Palma-Crespo, M.; García-Morales, S.; Sánchez-Aparicio, L.J.","del Blanco García, Federico Luis (57194506401); González Cruz, Alejandro Jesús (58981420900); Amengual Menéndez, Cristina (59305635100); Sanz-Arauz, David (56968197800); Aira Zunzunegui, José Ramón (59305793600); Palma-Crespo, Milagros (57952220600); García-Morales, Soledad (55710905400); Sánchez-Aparicio, Luis Javier (56338276500)","57194506401; 58981420900; 59305635100; 56968197800; 59305793600; 57952220600; 55710905400; 56338276500","A Unified Virtual Model for Real-Time Visualization and Diagnosis in Architectural Heritage Conservation","2024","Buildings","14","11","3396","","","0","3","10.3390/buildings14113396","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210254057&doi=10.3390%2Fbuildings14113396&partnerID=40&md5=36f9ab971a7037cfc76078c70a335002","The aim of this paper is to propose a workflow for the real-time visualization of virtual environments that supports diagnostic tasks in heritage buildings. The approach integrates data from terrestrial laser scanning (3D point clouds and meshes), along with panoramic and thermal images, into a unified virtual model. Additionally, the methodology incorporates several post-processing stages designed to enhance the user experience in visualizing both the building and its associated damage. The methodology was tested on the Medieval Templar Church of Vera Cruz in Segovia, utilizing a combination of visible and infrared data, along with manually prepared damage maps. The project results demonstrate that the use of a hybrid digital model—combining 3D point clouds, polygonal meshes, and panoramic images—is highly effective for real-time rendering, providing detailed visualization while maintaining adaptability for mobile devices with limited computational power. © 2024 Elsevier B.V., All rights reserved.","3D scanning; damage assessment; diagnostics; digital twin; heritage structures; historical constructions; immersive experience; point clouds; reality capture; virtual reality","3D modeling; Data visualization; Mesh generation; Three dimensional computer graphics; Virtual reality; Visualization; 3D-scanning; Damage assessments; Diagnostic; Heritage structures; Historical construction; Immersive; Immersive experience; Point-clouds; Reality capture; Virtual models; Virtual environments","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210254057"
"Carrasco, C.A.; Lombillo, I.; Sánchez-Espeso, J.M.; Blanco, H.; Boffill, Y.","Carrasco, César A. (55256569400); Lombillo, Ignacio (36023696500); Sánchez-Espeso, Javier Maria (57221227270); Blanco, H. (56662023700); Boffill, Y. (55221810800)","55256569400; 36023696500; 57221227270; 56662023700; 55221810800","Methodology for 3D Management of University Faculties Using Integrated GIS and BIM Models: A Case Study","2024","Buildings","14","11","3547","","","0","1","10.3390/buildings14113547","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210246799&doi=10.3390%2Fbuildings14113547&partnerID=40&md5=e76a7d2637421fbaefe3e67ec2b3e671","Three-dimensional virtual modeling is one of the tools being rapidly implemented in the construction industry, leading to the need for strategies based on intelligent 3D models of cities and/or digital twins, which allow simulation by interacting with their real physical counterparts, anticipating the outcomes of decision making. In practice, problems arise when creating and managing these twins, as different data, models, technology, and tools must be used, and they cannot all be combined as desired due to certain incompatibilities. On the other hand, today’s traditional building management demands a more optimized process to prevent errors and enable timely reactions to failures and defects. Managing and using a large amount of complex and disparate data are required, which is why the use of CMMS-type software is common (Computerized Maintenance Management System). However, such software is rarely designed for management in a 3D format, often due to the absence of three-dimensional models of the assets. This research aims to contribute to the technological development of the digitalization of the built environment, providing a simple methodology for generating and managing 3D models of cities. To achieve this, the tools and information useful for generating an integrated GIS 3D and BIM model, and for Computer-Aided Maintenance Management in a three-dimensional format (CMMS-3D), are identified. The final model obtained is used to optimize the three-dimensional management of a classroom building on the “Campus de Las Llamas” at the University of Cantabria in Spain. The results demonstrate that it is possible to integrate digital models with simple linking mechanisms between the existing tools, thus achieving an optimal three-dimensional management model. © 2024 Elsevier B.V., All rights reserved.","BIM; building information modeling; CMMS; computerized maintenance management system; digital twin; geographic information system; GIS","Building Information Model; Information management; 3D models; 3d-modeling; Building Information Modelling; Case-studies; CMMS; Computerized maintenance management system; Geographic information; Simple++; Three-dimensional managements; Virtual models; Decision making","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210246799"
"Liu, W.; Lv, Y.; Wang, Q.; Sun, B.; Han, D.","Liu, Wenhui (57222253357); Lv, Yihan (58954455400); Wang, Qian (56430161500); Sun, Bo (57553318600); Han, Dongchen (59273408600)","57222253357; 58954455400; 56430161500; 57553318600; 59273408600","A Systematic Review of the Digital Twin Technology in Buildings, Landscape and Urban Environment from 2018 to 2024","2024","Buildings","14","11","3475","","","0","5","10.3390/buildings14113475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210235739&doi=10.3390%2Fbuildings14113475&partnerID=40&md5=5fc43f3e6cee3863272e75ae729119d9","Digital Twin (DT) technologies have demonstrated a positive impact across various stages of the Architecture, Engineering, and Construction (AEC) industry. Nevertheless, the industry has been slow to undergo digital transformation. The paper utilizes the Systematic Literature Review (SLR) approach to study a total of 842 papers on the application of DT in buildings, landscapes, and urban environments (BLU) from 2018 to 2024. Based on the research results, suggestions have been made for future research and practical directions. Meanwhile, it provides assistance to BLU’s designers, constructors, managers, and policymakers in establishing their understanding of the digital transformation of the AEC industry. The existing relevant research can be mainly divided into three categories: case study, framework study, and technology study. Compared with the buildings and urban environment industries, the number and depth of research in the landscape industry are relatively low. Through in-depth analysis of BLU projects, three research trends in the future are determined: (1) research and application of DT framework in the design and planning stage; (2) development of design tools and basic theory based on DT model; (3) application and exploration of DT technology in the landscape industry. © 2024 Elsevier B.V., All rights reserved.","BLU industry; classification discussion; digital twin; research trends; scientometric analysis","Architecture engineering; Building environment; Building, landscape, and urban environment industry; Classification discussion; Digital transformation; Environment industry; In-buildings; Research trends; Scientometric analysis; Urban environments","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210235739"
"Borkowski, A.S.; Brożyna, J.; Lesiuk, J.","Borkowski, Andrzej Szymon (56950213000); Brożyna, Jakub (58777198700); Lesiuk, Julia (59425287800)","56950213000; 58777198700; 59425287800","Implementation of the Telemetric Integration of the BIM-RFID in Context of Access Control","2024","Buildings","14","11","3356","","","0","0","10.3390/buildings14113356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210229767&doi=10.3390%2Fbuildings14113356&partnerID=40&md5=3ce4e1866820a79a7c46690d386107f3","Building Information Modelling (BIM) integration with the Internet of Things (IoT) is progressing. The high level of BIM maturity involves using sensor data to manage processes or objects. The article presents the process of creating a telemetry connection between the BIM model and a Radio-Frequency Identification (RFID) sensor in the context of gaining access to various parts of a building. The process of creating a connection using an experimental set based on a microcontroller board for RFID reader support is described. The set was programmed using multiple programming languages and artificial intelligence. The article presents a unique process of connecting an RFID reader with BIM using a simple model that can be replicated in other contexts (e.g., gaining access to different parts of a construction site). Previous research shows that the unidirectional connection of IoT sensors with BIM models is not difficult. Instead, real-time bidirectional and stable connection (telemetry) is problematic. The authors undertook to fill this research gap using a proprietary IoT kit, programming sequence, and lightweight communication protocol. The paper makes a significant contribution to the discussion and understanding of BIM-IoT technology integration. The article also includes the limitations and possibilities for further development of such a connection. © 2024 Elsevier B.V., All rights reserved.","BIM level 3; Building Information Modeling (BIM); digital twin; Internet of Things (IoT); RFID; telemetry","Microcontrollers; Problem oriented languages; Radio frequency identification (RFID); Telemetering systems; Building information modeling; Building information modeling level 3; Building Information Modelling; Gaining access; In contexts; Internet of thing; Models integration; Radio-frequency identification readers; Radio-frequency-identification; Building Information Model","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210229767"
"Li, Y.; Li, Y.; Ding, Z.","Li, Yaning (59347884800); Li, Yongchang (59347467600); Ding, Zhikun (21933486700)","59347884800; 59347467600; 21933486700","Building Information Modeling Applications in Civil Infrastructure: A Bibliometric Analysis from 2020 to 2024","2024","Buildings","14","11","3431","","","0","2","10.3390/buildings14113431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210225919&doi=10.3390%2Fbuildings14113431&partnerID=40&md5=f091d8a1762dbfb72e1869c9933b8d69","Building Information Modeling (BIM) has emerged as a transformative technology in the Architecture, Engineering, and Construction (AEC) industry, with increasing application in civil infrastructure projects. This study comprehensively reviews the research landscape of BIM applications in civil infrastructure through bibliometric analysis. Based on data from the Web of Science database, 646 relevant papers published between 2020 and 2024 were collected, and 416 papers were selected for in-depth analysis after screening. Using bibliometric methods, the analysis reveals the evolution of research trends, identifies key contributors and influential publications, and maps the knowledge structure of the field. Our study shows a significant increase in research output over the past five years, particularly in studies focusing on the integration of BIM with emerging technologies such as Digital Twins, the Internet of Things (IoT), and Machine Learning. The results indicate that the United States, China, and the United Kingdom lead in terms of research output and citation impact. Additionally, based on clustering results and representative keywords, several key research clusters were identified, including BIM in infrastructure lifecycle management, BIM collaboration in large-scale projects, and BIM for sustainable infrastructure design. © 2024 Elsevier B.V., All rights reserved.","bibliometric analysis; BIM; civil infrastructure; construction technology; research trends","Bibliographies; Architecture engineering; Bibliometrics analysis; Building Information Modelling; Civil infrastructures; Construction technologies; Infrastructure project; Model application; Research outputs; Research trends; Web of Science; Building Information Model","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210225919"
"Jan, Y.; Jóźwiak, L.","Jan, Yahya (26648443400); Jóźwiak, Lech (7003518743)","26648443400; 7003518743","Quality-driven design of deep neural network hardware accelerators for low power CPS and IoT applications","2024","Microprocessors and Microsystems","111","","105119","","","0","0","10.1016/j.micpro.2024.105119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208769720&doi=10.1016%2Fj.micpro.2024.105119&partnerID=40&md5=e0815f243741b6d6ffe89cfd6a429641","This paper presents the results of our analysis of the main problems that have to be solved in the design of highly parallel high-performance accelerators for Deep Neural Networks (DNNs) used in low power Cyber–Physical System (CPS) and Internet of Things (IoT) devices, in application areas such as smart automotive, health and smart services in social networks (Facebook, Instagram, X/Twitter, etc.). Our analysis demonstrates that to arrive a to high-quality DNN accelerator architecture, complex mutual trade-offs have to be resolved among the accelerator micro- and macro-architecture, and the corresponding memory and communication architectures, as well as among the performance, power consumption and area. Therefore, we developed a multi-processor accelerator design methodology involving an automatic design-space exploration (DSE) framework that enables a very efficient construction and analysis of DNN accelerator architectures, as well as an adequate trade-off exploitation. To satisfy the low power demands of IoT devices, we extend our quality-driven model-based multi-processor accelerator design methodology with some novel power optimization techniques at the Processor's and memory exploration stages. Our proposed power optimization techniques at the processor's exploration stage achieve up to 66.5% reduction in power consumption, while our proposed data reuse techniques avoid up to 85.92% of redundant memory accesses thereby reducing the power consumption of accelerator necessary for low-power IoT applications. Currently, we are beginning to apply this methodology with the proposed power optimization techniques to the design of low-power DNN accelerators for IoT applications. © 2024 Elsevier B.V., All rights reserved.","Cyber–Physical System (CPS); Deep Neural Networks (DNN); Design Space Exploration (DSE); Highly-parallel DNN architectures; Internet of Things (IoT); Low power design techniques","Colliding beam accelerators; Deep neural networks; Digital storage; Hadrons; Integrated circuit design; Linear accelerators; Linear programming; Parallel architectures; Particle beam extraction; Particle beams; Radiation hardening; Structural dynamics; Tweets; Cybe-physical systems; Cyber-physical systems; Cybe–physical system; Deep neural network; Design space exploration; Highly parallels; Highly-parallel deep neural network architecture; Internet of thing; Low power design technique; Neural network architecture; Neural-networks; Economic and social effects","Article","Final","","Scopus","2-s2.0-85208769720"
